70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
70,29,70,70,70,70,70,70,70,56,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
38,86,38,37,37,37,37,37,37,38,32,32,32,32,32,32,32,32,32,32,32,38,37,37,37,37,37,37,37,38,38,38
39,39,39,1,1,1,1,1,1,39,34,34,34,34,34,34,34,34,34,39,39,39,1,1,1,1,1,1,1,39,39,39
39,39,39,1,1,1,1,1,1,39,39,34,34,34,34,34,34,34,39,39,39,39,1,1,1,1,1,1,1,39,39,39
39,39,1,1,1,1,1,1,39,39,39,39,39,34,34,34,34,39,39,39,39,1,1,1,1,1,1,1,1,39,62,39
39,39,1,1,1,1,1,39,39,39,39,39,39,39,39,39,39,39,39,39,1,1,1,1,1,1,1,1,1,39,39,39
39,39,1,1,1,1,1,39,39,39,39,39,39,39,39,39,39,39,39,39,1,1,1,1,1,1,1,1,39,39,39,39
39,39,1,1,1,1,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1,1,1,1,1,1,1,39,39,39,39
39,39,1,1,1,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1,1,1,1,1,1,39,39,39,39
39,39,1,1,1,1,39,39,39,67,39,39,39,39,39,39,39,39,39,39,39,39,39,1,1,1,1,1,1,1,39,39
39,39,39,1,1,1,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1,1,1,1,1,1,1,1,39,39
39,39,39,39,1,1,1,39,39,39,39,39,39,39,39,39,39,39,39,1,1,1,1,1,1,1,1,1,1,1,39,39
39,39,39,39,1,1,1,1,1,1,1,1,39,39,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39
39,39,39,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39
39,39,39,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39
39,39,39,39,1,1,1,1,1,39,39,39,39,39,39,39,39,39,39,1,1,1,1,1,1,1,1,1,1,1,39,39
39,39,39,39,39,1,1,1,39,39,39,39,39,39,39,39,39,39,39,39,39,1,1,1,1,1,1,1,1,1,39,39
39,39,39,39,39,1,1,1,39,39,39,39,39,39,39,39,39,39,69,39,39,39,1,1,1,1,1,1,1,1,39,39
39,39,39,39,39,1,1,1,39,39,39,39,39,39,39,39,67,69,39,39,39,39,39,1,1,1,1,1,1,1,39,39
39,39,39,39,39,1,1,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1,1,1,1,1,1,1,39,39
39,39,39,39,1,1,1,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1,1,1,1,1,1,1,39,39
39,39,39,39,1,1,1,39,39,39,50,46,46,46,46,46,46,46,46,49,39,39,1,1,1,1,1,1,1,39,39,39
39,39,39,39,1,1,1,39,39,39,43,70,70,70,70,70,70,70,70,41,39,39,1,1,1,1,1,1,1,39,39,39
39,39,39,39,1,1,1,39,39,39,43,70,70,70,70,70,88,70,70,41,39,39,1,1,1,1,1,1,39,39,39,39
39,39,39,39,1,1,1,1,39,39,43,70,70,70,70,70,87,86,86,47,39,39,1,1,1,1,1,1,39,39,39,39
39,39,39,39,1,1,1,1,39,39,48,37,37,37,37,37,39,39,39,39,1,1,1,1,1,1,1,39,39,39,39,39
39,39,39,39,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,39,39,39,39,39
39,39,39,39,39,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,39,39,39,39,68,39,39
39,66,39,39,39,39,39,39,39,1,1,1,1,1,1,1,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
